game_id,ai_player,white_elo,black_elo,winner,total_moves,eco,moves_list,move_category
435489546,black,1591,2662,black,32,B44,"['e2e4', 'c7c5', 'g1f3', 'e7e6', 'd2d4', 'c5d4', 'f3d4', 'b8c6', 'd4c6', 'b7c6', 'f1c4', 'd7d5', 'e4d5', 'c6d5', 'c4b5', 'c8d7', 'b5d7', 'd8d7', 'e1g1', 'a8c8', 'b1c3', 'g8f6', 'c1g5', 'f8e7', 'f1e1', 'e8g8', 'e1e2', 'h7h6', 'g5f6', 'e7f6', 'd1d3', 'f6c3']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]"
436442411,black,1938,2131,black,66,A41,"['d2d4', 'd7d6', 'e2e4', 'f7f5', 'b1c3', 'f5e4', 'f2f3', 'e4f3', 'g1f3', 'c8f5', 'f1d3', 'f5d3', 'd1d3', 'g8f6', 'e1g1', 'd8d7', 'c1g5', 'b8a6', 'a2a3', 'e8c8', 'b2b4', 'h7h6', 'g5h4', 'g7g5', 'h4g3', 'f6h5', 'b4b5', 'h5g3', 'h2g3', 'a6b8', 'a3a4', 'f8g7', 'a4a5', 'h8f8', 'a5a6', 'b7a6', 'b5a6', 'g5g4', 'f3h4', 'c7c5', 'h4f5', 'g7d4', 'f5d4', 'f8f1', 'g1f1', 'c5d4', 'd3d4', 'd7f5', 'f1g1', 'b8c6', 'd4c4', 'c8d7', 'a1b1', 'd8c8', 'b1b7', 'd7e8', 'c3d5', 'e8f8', 'b7c7', 'c8c7', 'd5c7', 'c6a5', 'c4b4', 'a5c6', 'b4b7', 'f5c5']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]"
472907070,white,2126,2218,white,43,A00,"['b1c3', 'e7e5', 'g1f3', 'b8c6', 'e2e3', 'd7d6', 'f1b5', 'c8d7', 'e1g1', 'g8f6', 'd2d4', 'f6g4', 'f1e1', 'f7f5', 'c3d5', 'e5e4', 'f3d2', 'd8h4', 'd5c7', 'e8d8', 'c7a8', 'g4h2', 'g2g3', 'h4h3', 'd4d5', 'c6e5', 'b5e2', 'h2g4', 'd2f1', 'h7h5', 'f2f4', 'h5h4', 'e2g4', 'e5g4', 'c1d2', 'h4g3', 'd2a5', 'b7b6', 'a5b6', 'a7b6', 'f1h2', 'h3h2', 'g1f1']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]"
436651887,black,1938,2136,black,52,D02,"['d2d4', 'g8f6', 'g1f3', 'd7d5', 'c1f4', 'c7c5', 'c2c3', 'd8b6', 'd1b3', 'b8c6', 'e2e3', 'c5c4', 'b3c2', 'c8d7', 'b1d2', 'g7g6', 'f1e2', 'd7f5', 'c2c1', 'f8g7', 'e1g1', 'e8g8', 'a2a3', 'e7e6', 'f3e5', 'c6e5', 'f4e5', 'f5d3', 'e2d3', 'c4d3', 'd2f3', 'f6e4', 'f3d2', 'g7e5', 'd4e5', 'a8d8', 'f2f3', 'b6e3', 'g1h1', 'e4d2', 'f1e1', 'e3f2', 'c1d1', 'd8c8', 'b2b4', 'c8c3', 'a1a2', 'c3c2', 'a2c2', 'd3c2', 'd1c1', 'f8c8']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]"
453529432,white,2915,1499,white,51,A42,"['e2e4', 'g7g6', 'd2d4', 'f8g7', 'c2c4', 'c7c6', 'b1c3', 'd7d6', 'f1e2', 'e7e6', 'g1f3', 'g8e7', 'h2h4', 'f7f5', 'h4h5', 'b8d7', 'h5h6', 'g7f8', 'c1g5', 'd8b6', 'd1d2', 'f5e4', 'c3e4', 'e7f5', 'g2g4', 'd6d5', 'c4c5', 'b6c7', 'e4f6', 'd7f6', 'g5f6', 'f8h6', 'h1h6', 'f5h6', 'd2h6', 'h8f8', 'f6e5', 'c7f7', 'e5d6', 'f8g8', 'f3e5', 'f7g7', 'h6g7', 'g8g7', 'e1d2', 'c8d7', 'a1h1', 'e8c8', 'g4g5', 'b7b6', 'e2a6']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]"
470240609,white,2764,1777,white,43,B07,"['e2e4', 'c7c6', 'd2d4', 'd7d6', 'c2c4', 'd8c7', 'b1c3', 'e7e5', 'h2h3', 'h7h6', 'c1e3', 'g8f6', 'f1d3', 'f8e7', 'g1e2', 'b8d7', 'e1g1', 'e8g8', 'f2f4', 'e5d4', 'e3d4', 'f8e8', 'e2g3', 'b7b6', 'd1f3', 'd7f8', 'a1d1', 'a7a6', 'e4e5', 'd6e5', 'd4e5', 'c7b7', 'c3e4', 'f6e4', 'd3e4', 'e7c5', 'g1h1', 'c8d7', 'g3h5', 'a8c8', 'f3g3', 'f8e6', 'e5g7']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]"
452466091,white,2320,2091,white,99,C55,"['e2e4', 'e7e5', 'g1f3', 'b8c6', 'f1c4', 'd7d6', 'd2d4', 'e5d4', 'e1g1', 'g8f6', 'f3d4', 'c8d7', 'd4c6', 'b7c6', 'c1g5', 'f8e7', 'e4e5', 'd6e5', 'f1e1', 'e8g8', 'e1e5', 'e7d6', 'e5e1', 'f8e8', 'g2g3', 'e8e1', 'd1e1', 'd8e8', 'e1e8', 'a8e8', 'b1c3', 'd7e6', 'c4e6', 'e8e6', 'a1d1', 'f6d5', 'c3d5', 'c6d5', 'd1d5', 'e6e1', 'g1g2', 'e1e2', 'd5d2', 'e2d2', 'g5d2', 'c7c5', 'd2e3', 'a7a6', 'b2b3', 'g8f8', 'a2a4', 'f8e7', 'g2g1', 'e7e6', 'e3g5', 'e6d5', 'c2c4', 'd5c6', 'h2h4', 'f7f6', 'g5c1', 'd6e5', 'h4h5', 'e5d4', 'c1f4', 'd4e5', 'h5h6', 'g7g6', 'f4c1', 'e5d4', 'g1g2', 'd4e5', 'f2f3', 'e5d4', 'f3f4', 'd4c3', 'g3g4', 'c3d4', 'c1d2', 'd4b2', 'f4f5', 'g6f5', 'g4f5', 'b2e5', 'g2f3', 'e5b2', 'f3e4', 'b2e5', 'd2f4', 'e5b2', 'f4e3', 'b2c3', 'e3c1', 'c3a1', 'c1d2', 'a1b2', 'a4a5', 'b2a1', 'b3b4']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]"
470964808,black,2071,1967,white,57,C50,"['e2e4', 'e7e5', 'g1f3', 'b8c6', 'f1c4', 'f8c5', 'b1c3', 'g8f6', 'd2d3', 'h7h6', 'a2a3', 'd7d6', 'h2h3', 'e8g8', 'g2g4', 'c6d4', 'g4g5', 'h6g5', 'c1g5', 'd4e6', 'd1d2', 'e6g5', 'd2g5', 'c8d7', 'h1g1', 'f6e8', 'g5h5', 'e8f6', 'h5h4', 'a7a5', 'f3g5', 'd7e8', 'c3d5', 'c5f2', 'e1f2', 'g7g6', 'f2e2', 'f6h5', 'a1f1', 'd8b8', 'd5f6', 'h5f6', 'f1f6', 'g8g7', 'f6g6', 'f7g6', 'g5e6', 'g7g8', 'e6f8', 'd6d5', 'c4d5', 'g8g7', 'h4e7', 'e8f7', 'e7f7', 'g7h8', 'f7h7']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]"
431072611,black,2045,1960,white,41,B30,"['e2e4', 'c7c5', 'g1f3', 'b8c6', 'c2c4', 'g7g6', 'b1c3', 'g8f6', 'd2d3', 'f8g7', 'c1f4', 'e8g8', 'd1d2', 'd7d6', 'e1c1', 'd8a5', 'h2h3', 'c6b4', 'c1b1', 'e7e5', 'f4h6', 'c8d7', 'g2g4', 'a8c8', 'd2g5', 'g7h6', 'g5h6', 'd7a4', 'd1d2', 'b4c6', 'f3g5', 'c6d4', 'c3d5', 'a4c2', 'd2c2', 'a5e1', 'c2c1', 'e1c1', 'b1c1', 'd4e2', 'f1e2']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]"
472326008,black,2248,1945,white,81,B20,"['e2e4', 'c7c5', 'c2c4', 'b8c6', 'd2d3', 'g8f6', 'b1c3', 'd7d6', 'g1f3', 'c8e6', 'f1e2', 'd8c7', 'c3d5', 'f6d5', 'e4d5', 'e6f5', 'd5c6', 'c7c6', 'f3h4', 'f5e6', 'e2g4', 'e6g4', 'd1g4', 'h7h5', 'g4f3', 'c6f3', 'h4f3', 'g7g6', 'a1b1', 'f8g7', 'b2b3', 'e7e6', 'c1b2', 'g7b2', 'b1b2', 'e8d7', 'h2h4', 'd7c6', 'g2g3', 'b7b6', 'e1g1', 'e6e5', 'f1e1', 'a8e8', 'b2e2', 'e8e7', 'f3d2', 'f7f5', 'f2f4', 'e7d7', 'f4e5', 'h8e8', 'e5d6', 'e8e2', 'e1e2', 'c6d6', 'g1f2', 'd7e7', 'e2e7', 'd6e7', 'f2f3', 'e7d6', 'f3f4', 'd6e6', 'f4g5', 'e6f7', 'd2f3', 'a7a6', 'f3e5', 'f7e6', 'e5g6', 'b6b5', 'c4b5', 'a6b5', 'g6f4', 'e6e5', 'f4h5', 'c5c4', 'd3c4', 'b5c4', 'b3c4']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]"
